gpstime,lat,lon,alt,stdlat,stdlon,stdalt,roll,pitch,head,mntroll,mntpitch,mntyaw,quality,HDOP,numSV,sep
204008.3,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.51769,-0.88629,18.99535,0.71,3.95,359.48,4,0.66,12,17.1
204008.4,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.54465,-0.88749,18.99648,0.71,3.95,359.48,4,0.66,12,17.1
204008.6,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.51556,-0.88464,18.99548,0.71,3.95,359.48,4,0.65,12,17.1
204008.8,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.50593,-0.88282,18.99686,0.71,3.95,359.48,4,0.65,12,17.1
204008.9,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.48454,-0.87298,18.99823,0.71,3.95,359.48,4,0.65,12,17.1
204009.1,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.47299,-0.86092,18.99813,0.71,3.95,359.48,4,0.65,12,17.1
204009.2,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.53578,-0.89799,19.00069,0.71,3.95,359.48,4,0.65,12,17.1
204009.4,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.52817,-0.88295,19.00274,0.71,3.95,359.48,4,0.65,12,17.1
204009.6,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.52551,-0.87879,19.00435,0.71,3.95,359.48,4,0.65,12,17.1
204009.7,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.53054,-0.8734,19.00614,0.71,3.95,359.48,4,0.65,12,17.1
204009.8,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.5391,-0.87904,19.00664,0.71,3.95,359.48,4,0.65,12,17.1
204010.0,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.5381,-0.8959,19.00641,0.71,3.95,359.48,4,0.65,12,17.1
204010.2,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.53712,-0.90205,19.00574,0.71,3.95,359.48,4,0.65,12,17.1
204010.3,24.9770185,121.5511755,24.1,0.039,0.046,0.51,0.54166,-0.90023,19.00589,0.71,3.95,359.48,4,0.65,12,17.1
204010.5,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53799,-0.89533,19.0061,0.71,3.95,359.48,4,0.65,12,17.1
204010.6,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53493,-0.87962,19.00647,0.71,3.95,359.48,4,0.65,12,17.1
